,Company,Industry,ProductName,ProductCategory,ProductIsImplemented
0,Ace Athletics,Sports Equipment,Alteryx,Business Intelligence and Analytics,True
1,Ace Athletics,Sports Equipment,Google Data Studio,Business Intelligence and Analytics,True
2,Ace Athletics,Sports Equipment,Jira Service Management,Help Desk and Customer Support,True
3,Ace Athletics,Sports Equipment,Power BI,Business Intelligence and Analytics,True
4,Ace Athletics,Sports Equipment,QlikView,Business Intelligence and Analytics,True
5,Ace Athletics,Sports Equipment,Salesforce Service Cloud,Help Desk and Customer Support,True
6,Ace Athletics,Sports Equipment,Tableau,Business Intelligence and Analytics,True
7,Ace Athletics,Sports Equipment,Tibco Spotfire,Business Intelligence and Analytics,True
8,AlphaAccessories,Accessory Subscription,Alteryx,Business Intelligence and Analytics,True
9,AlphaAccessories,Accessory Subscription,Domo,Business Intelligence and Analytics,True
10,AlphaAccessories,Accessory Subscription,Freshdesk,Help Desk and Customer Support,True
11,AlphaAccessories,Accessory Subscription,Freshservice,Help Desk and Customer Support,True
12,AlphaAccessories,Accessory Subscription,Google Data Studio,Business Intelligence and Analytics,True
13,AlphaAccessories,Accessory Subscription,HappyFox,Help Desk and Customer Support,True
14,AlphaAccessories,Accessory Subscription,HubSpot Service Hub,Help Desk and Customer Support,True
15,AlphaAccessories,Accessory Subscription,Intercom,Help Desk and Customer Support,True
16,AlphaAccessories,Accessory Subscription,Jira Service Management,Help Desk and Customer Support,True
17,AlphaAccessories,Accessory Subscription,Looker,Business Intelligence and Analytics,True
18,AlphaAccessories,Accessory Subscription,Power BI,Business Intelligence and Analytics,True
19,AlphaAccessories,Accessory Subscription,QlikView,Business Intelligence and Analytics,True
20,AlphaAccessories,Accessory Subscription,Salesforce Service Cloud,Help Desk and Customer Support,True
21,AlphaAccessories,Accessory Subscription,SAP Analytics Cloud,Business Intelligence and Analytics,True
22,AlphaAccessories,Accessory Subscription,ServiceNow,Help Desk and Customer Support,True
23,AlphaAccessories,Accessory Subscription,Sisense,Business Intelligence and Analytics,True
24,AlphaAccessories,Accessory Subscription,Tableau,Business Intelligence and Analytics,True
25,AlphaAccessories,Accessory Subscription,Tibco Spotfire,Business Intelligence and Analytics,True
26,AlphaAccessories,Accessory Subscription,Zendesk,Help Desk and Customer Support,True
27,AlphaApparel,Clothing Retailer,Alteryx,Business Intelligence and Analytics,True
28,AlphaApparel,Clothing Retailer,Google Data Studio,Business Intelligence and Analytics,True
29,AlphaApparel,Clothing Retailer,Jira Service Management,Help Desk and Customer Support,True
30,AlphaApparel,Clothing Retailer,Salesforce Service Cloud,Help Desk and Customer Support,True
31,AlphaApparel,Clothing Retailer,ServiceNow,Help Desk and Customer Support,True
